Terminal_year,Year,Estimate,Standard_error,Lower_2SD,Upper_2SD
2022,1987,4147.133745751899,160.08010956323847,3826.9735266254224,4467.293964878376
2022,1988,3902.4721335019167,134.0004392297222,3634.4712550424724,4170.473011961361
2022,1989,3376.0572490801314,115.01815714010256,3146.020934799926,3606.0935633603367
2022,1990,2863.6658291259996,104.0539718231964,2655.5578854796067,3071.7737727723925
2022,1991,2311.7033567920366,94.11335963284789,2123.4766375263407,2499.9300760577325
2022,1992,2190.649117938643,81.37661553680935,2027.8958868650243,2353.4023490122618
2022,1993,2862.4251346824717,92.45772058820087,2677.50969350607,3047.3405758588733
2022,1994,3322.7243669032555,104.7739681849228,3113.17643053341,3532.272303273101
2022,1995,3552.371452472166,108.98836331285827,3334.3947258464495,3770.348179097882
2022,1996,3489.697204892391,107.20313910239206,3275.2909266876068,3704.103483097175
2022,1997,3394.1340583169294,107.28482662266157,3179.5644050716064,3608.7037115622525
2022,1998,2886.015283413975,92.87187600193832,2700.2715314100983,3071.7590354178515
2022,1999,3007.0839560895133,91.92871011480203,2823.2265358599093,3190.9413763191174
2022,2000,2893.024749116054,85.74540490298492,2721.533939310084,3064.515558922024
